column	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49
gene_4720	-0.10404390661985898	0.009931342540482582	-0.0371440101589204	0.05548779527936747	-0.06282567776419179	-0.10378560031539985	0.19670327050951172	0.08397715602698123	-0.10644628362097136	-0.04240162652447238	0.13022907098983394	-0.06961338821188678	0.13589663559191958	0.16358842654171044	-0.1143562055123358	0.0697771418451627	0.2134713131367805	-0.036554890306661786	-0.11006540333176767	0.1064156316145762	-0.10998290133309037	0.04632014155525155	-0.06292660195368913	0.029695317367763905	-0.02119944991888471	0.1492263553597968	0.020275568857695783	0.14245259618498982	-0.17233413187718144	-0.06427073830935033	-0.1038145743807937	0.04263596091936624	-0.12870257253144676	-0.05916517231572487	0.01630100152833297	-0.04970051281470145	0.14240290972360337	-0.029932360381431693	-0.13234623714713253	-0.08199118597417442	0.21297030707754655	-0.10479947629435254	0.006452951664807149	0.12212180624810322	-0.08911024254647724	0.08019019581164917	-0.10602296778926029	-0.008737876193234516	0.07062372674446132
gene_1449	-0.10868855540147003	0.03872398256561939	0.011659855509724407	0.022869960612954342	0.03282072096191996	-0.038195737408922334	0.012314243426642424	-0.1381633681590042	0.22195614218094917	-0.21325826132099565	0.036499180947094506	-0.01351008003959793	0.1413116739113008	0.08787936058770388	0.06832821305555933	0.05085294690315108	0.079621969974782	-0.1852916727860653	0.07967854408651481	0.0694900796124512	0.1326509661429707	0.14102670427216904	0.061402906713989104	-0.056293618432740666	0.11829004537677376	0.11349846945618651	0.14699548815190977	-0.17372075447885546	0.12097013748173921	-0.1840750127045258	-0.06029888384215861	-0.09779989507398816	0.11155605127987461	-0.027628631637931552	0.006222029594111926	0.047932709550058857	0.04147120196920417	0.004468905574596558	0.03973133779804928	-0.1310409100709732	0.0411329869192248	-0.09584988016414822	0.0837435775572562	0.02337488400594285	0.058965671570574744	-0.051073205285878345	-0.035175427888006906	0.04947243190393374	-0.062342652890300485
gene_4760	-0.10560048754711782	-0.10854217826668994	0.14735006648158658	0.15926881362609233	-0.09568339466746731	-0.13268083415387114	-0.006598336489657968	0.0419153031528416	-0.03354227993467767	0.03261072159715992	0.021941243869898746	0.0330616227017488	-0.05601202870547284	0.023685295990389703	-0.09523304097626029	-0.09309958951439336	0.07993120671336393	0.012962751558061744	-0.0561724489673194	0.1381553558886462	0.06962828471460061	-0.1413596312402022	-0.008936634233382076	-0.018635510380705794	0.22581881673781862	-0.10085277354969752	-0.04542237900291166	0.13523429065023013	0.04791535585151161	0.019894893047843448	0.010479593828555232	-0.10701453655280141	0.05556506548341866	-0.007362894822991714	-0.05482741950788985	0.038468084189170366	0.07585330853664708	0.04931352908939804	0.022353142718339988	-0.1149786732970533	0.07077381440918312	-0.06555747270126336	0.023150670064354846	0.03180944244250078	0.056222852894962184	-0.006424414481730799	0.08784307925080807	0.0921322229746154	0.15483776281850617
gene_6903	-0.11704838470238402	-0.07007809103828586	0.052415666583763114	-0.14445469214353257	0.0695637911769554	0.05889402294553556	0.046524211983454626	-0.16591655376208916	-0.009376300681665112	-0.06751197516950834	-0.021717245045970467	0.04067607928730015	0.038701691182362656	0.09796641464918168	-0.019333624620526416	0.10577288139816525	-0.19606180859846914	-0.07393435763939438	-0.1758633754979022	0.11082322753260036	0.11882934169160128	-0.05208702675673735	-0.10072380874916799	0.004637506768726486	0.01564839237899519	-0.04489084546497496	0.06470227562294627	0.059027485393781255	-0.10772871457380094	0.17864185954716474	-0.06641443779924208	-0.12832202978127416	-0.02203854380300313	-0.07247916210134167	0.21294518060850376	-0.07905542341354294	-0.04404098382525314	0.09808586512147396	-0.12932412843543606	-0.27362384377597476	0.005625679653833116	0.06463979876458953	0.036022523180512446	-0.14781366447729766	0.09273037945094444	0.1286866562256145	-0.07202726042539533	0.021984231412792883	-0.04364913856559422
gene_5141	-0.09419319802632947	-0.12223463747600756	0.061725307532877784	0.13381207466893938	0.0286112453655552	0.15934769496141743	-0.18948413906166298	-0.01876269669025307	0.09552430022647178	0.05649040386007493	0.0071363894514999285	0.08062018624551451	0.051385319951439336	-0.028717510434334733	-0.01545633810099673	0.006784891187982745	0.10504012247086916	0.030210390396841962	0.10129384874703579	0.14920299402832987	0.016442798310042563	-0.0014669858335348291	0.002762046275825851	-0.15984986096362228	0.07279696740906344	0.12164047420033836	-0.025020029501603723	-0.1061950211066216	0.09850986771507629	-0.005427261540491517	-0.034337765644915016	0.04335008392172953	0.030508642126118386	-0.27006456037458015	-0.09264409410937623	-0.2668322894030794	-0.09557330568829482	0.077332201800918	0.05533929224441201	0.13660938083312385	0.20586832759360188	-0.05876083785095858	-0.14696796656859265	0.011226975320455163	-0.0821753154803149	0.05494825485047542	-0.05982751317733489	0.026590105856286225	-0.07914400187722395
gene_92	0.11067614035144775	-0.04374084868032102	0.059670970824342986	-0.16866144297383254	-0.19582981210004788	-0.057053214235488724	0.13658731031851892	-0.017751287783698434	-0.040825939695050835	0.04462264425977108	0.17343226515386218	0.05221049901374242	0.003380109660245154	-0.0753681712259354	0.08379977521071383	0.025895690514470694	0.01352004818929379	0.038795030778249	0.10330305308991759	0.026088657863113287	0.11298666477659668	0.004992620032325247	-0.09371034221338932	0.0282308886171854	-0.03730129422981119	-0.0026827087647383237	0.06730548919704113	0.04090165145688818	0.11731809188960222	-0.05928491518790773	-0.0037850545366616296	0.09992203873733325	-5.715295255072615e-5	0.07448325990361176	-0.04816727423627941	-0.07694732125297377	-0.12109678809853686	-0.04815484875731958	0.006525495714374967	0.12280996583020001	0.11932948641543088	0.10705570272370339	-0.14931345850277516	0.07463619453745958	0.008129135726326099	-0.001443072276845352	-0.06090377666332194	0.07905639977775485	0.1358060083382507
gene_2	0.08883644437279109	0.009874124920211268	0.005394239666297798	-0.1833376407876849	-0.24665952404306038	0.03226466738287205	0.029658585853681863	0.09152862774654096	0.06079939943277061	0.05133401816923478	0.10657499459973549	0.06345054242011408	-0.01110538338877163	0.06108481785017222	0.13039575744792317	0.014081055639161379	0.10181242886874005	-0.026813212346179314	0.015985307560321464	0.02081996117682131	-0.0816220819448203	0.15603431565339473	0.1879429429021448	0.005195347602342605	-0.04562831519463139	0.025265052043928062	0.1331851084908129	0.012126385477771031	-0.002951949160073659	0.028682859989995712	0.08341067983133395	-0.18382775489081007	0.08244208248438091	0.04137384578063541	0.07673105633049385	-0.07610337678661885	-0.03290975257070426	0.020447486045792124	0.15108090030177748	0.185455308808223	-0.009695861574423844	-0.04887549616452313	-0.10696126962374101	-0.0924192196495169	-0.004636187154993227	-0.028963583842937204	-0.008318226823127573	-0.03051777599637616	0.021596748562947066
gene_2480	-0.07292487120886267	-0.04386935461097743	0.17420889802731246	0.006598795531460448	-0.10762137529453085	0.08886667240108945	0.10497205693799055	0.0215290725871965	-0.003156340146024369	-0.09416025463356734	0.03230955474852445	-0.1353338069344508	0.0606248333030021	-0.04270298163669897	-0.046185911018834826	-0.18617202106381664	-0.3037258579332875	-0.11393161187933976	0.11862498160520309	-0.07632959123495231	0.05787641820294343	-0.13522853573220714	0.007235449050844577	0.05762005738244873	0.0792581106015724	0.1340754537469643	-0.06405696629985799	-0.16085074744102787	-0.07254468529189205	0.15398075098731542	0.13463456552916314	0.15527875081770304	-0.14675753603010405	0.021969042438817796	0.06047026468823523	-0.07333657204784856	0.18324310474265784	0.14420328443520414	-0.054220221709079065	0.08258480573316393	0.017058595070024045	-0.022610076975874617	-0.12947702579224296	-0.1067877970295957	-0.06985811219192106	0.0068199098514992555	0.004249238352376951	0.006381447339520132	-0.18664427528477004
gene_4417	0.08399205921665517	0.10702088135943763	-0.023700831433915066	-0.08432539407267019	-0.047135233433482575	0.15855430966860717	-0.10448210615182818	-0.02599485314842251	-0.18914866198799135	0.06112171042274771	-0.10932565948364967	0.2163408010231428	-0.06727446663462934	0.08014640028569889	0.13402870376766948	0.0414873299673373	0.22941908233100639	0.14181097802627854	0.09557589347709732	-0.055080691143332125	0.03262485578762312	0.033684918145883716	-0.038409396129003376	-0.06097151172013466	0.055929093505776455	0.15592047044975038	-0.010137279724066512	-0.03351514480483856	0.03805022017305387	-0.05021996912339088	0.013550465177861973	-0.07601984716276211	0.15482383784912704	-0.08636893094793706	-0.04560883264968474	0.011710518977588852	0.01679841350664388	-0.0362811009128254	0.02093882615209678	-0.18038366649351636	-0.011640763199319486	-0.18280082294312086	0.03851841990609594	-0.10632305106622889	-0.16729852128569658	0.07006888098646714	-0.030617591994237026	-0.09873847113852724	-0.11731814966557026
gene_5327	-0.0823156869965746	-0.0894598444326693	0.10255634016742529	0.09732848553458068	-0.07697039077751819	0.16931386389141814	-0.006593499248043485	0.05184430991388777	0.12519835591835893	-0.17534313927894468	0.106798100632459	0.0415312115591675	-0.11385107829224643	0.06103137419318042	0.03479382888171215	-0.09203262078230916	-0.08584575274992604	0.08595398812034283	0.11421184918824935	-0.07121370232435591	-0.009729354121227655	0.20310866012947856	0.007933246322084711	-0.14760471341374642	-0.1556289106921633	-0.010839341786462873	-4.557737823511815e-4	0.0049925420062956185	-0.10009701957021727	0.09301700422070334	-0.0691353542248807	0.026472275415931466	0.11632068947246683	0.017875322272554634	-0.14646648139911728	0.11672473125662061	0.224860169020909	-0.29393281734008436	0.13193591176131184	-0.08839261184896365	-0.14839196034157087	0.07092791997989119	0.1578188654689212	-0.03513990509320538	-0.11444033391453182	-0.012988145755537747	-0.0530004337416053	0.019118651397484643	0.08883725942916992
gene_3751	-0.11170511269338404	0.017441001308895435	0.11087530634189746	-0.09472725096675913	-0.1091657350049725	0.1080577872972049	0.04826647128992423	-0.021449517799605144	-0.007978463229477388	-0.06424951153062884	-0.14886947933517483	0.15690374020486159	-0.05720106860374329	0.08702957082299524	0.0912948124665607	0.19562829817471342	-0.10430419302482086	-0.04781053131418338	-0.13539364712049573	-0.012135711048652527	0.20915446062367826	-0.06866702071650212	-0.07699372127824419	0.012238745184512456	-0.03306245057971046	-0.025036243133531616	-0.13720136088329646	0.13845199054073373	0.07030715127749798	-0.11616280498477193	0.005423602212709478	0.07964607470352758	-0.006304224004852618	-0.15147444612475938	6.019967631013797e-4	0.1780503424769474	-0.04522097248857668	-0.05699813650258485	-0.04639106857536449	0.07753545977496049	-0.14121432621240435	-0.0923845473735275	0.06397553509842889	0.05162370342007434	-0.01799355535138396	-0.06899654939042621	0.042840106509251664	-0.1421561001812582	0.06613644743607068
gene_860	-0.08662326273150377	-0.020048428374933504	-0.02553582887356532	-0.0750039276522577	-0.16204525939866865	-0.0092609059797922	-0.2120497657918352	0.07434408903446853	0.03362043119608608	0.1328930008677341	0.006979574583742295	0.056987541520245426	0.13394460950926257	0.13025608592400767	0.14291946127807503	0.048062765390259846	-0.11904739602637195	-0.17347488599827993	-0.13081316403206386	-0.002361331527419088	-0.16714482959736968	0.020538232042053396	-0.1201015099404522	0.09894691553440561	-0.011289471109363881	0.07517683693967762	0.016503265694185264	0.043379514229689525	0.006017269203004213	0.13210189133071876	0.18179844211648816	-0.19740082952258872	0.03455061319103297	-0.04371639038723344	-0.014257665617762937	-0.09807708771143497	0.22349398989676297	0.03175528612021114	0.20635030342597338	0.16610100952578233	-0.10098681921922306	0.02503283456602987	0.14030758065863236	0.06368218906031632	-0.03722597340589664	-0.026907095884983804	-0.16011005664015684	0.03053708253556335	0.013874674118984786
gene_1872	0.08371893991470791	0.0017537831585121247	0.09759610133042791	0.10790956061311928	-0.0851414802718827	0.014346895079602039	0.13320242489519823	0.025861756750629974	-0.052248285880718115	-0.16442801710792795	-0.031119574814772052	0.28219060543149094	0.03217208412824147	-0.003922886351777124	0.1653121422741447	-0.1395596859674996	0.12922110540050932	0.023168701085248346	-0.16338673775889426	-0.0800057725781974	0.14587640605303745	0.0997118454513208	-0.12763070095352222	9.476591017112433e-4	-0.05920878227520714	-0.14838675535491963	-0.014041614006502485	0.05365052722318991	-0.0315570882613746	-0.057601755232837754	0.20715419897649429	0.04076742143056798	-0.06076732549980752	0.06413303232917902	0.1267243684708573	-0.03108264645007309	0.0956831891553171	0.022474117488518502	-0.020237909794727966	-0.20306031615634634	-0.026232760374671774	0.04307443929307502	-0.23128310936124363	0.07857174862984657	0.03988178738946877	-8.941237995588313e-4	-0.07864562055004008	-0.06268072494078845	-0.16315523122125491
